description,variables,value,unit,unit(3d histogram),
Counter for Vehicle Speed within (90-105] kph when there is no forward target,vafimr_cnt_ops_vehspdnotgt[x]_[6],0,(90-105),N/A,0140450_2020-8-9-14-24-6
Counter of FCA Headway Alerts for Gap Setting of (Far),vafimr_cnt_ops_fca_hdwyalrt[x]_[0],0,Far,N/A,0140450_2020-8-9-14-24-6
Counter of FCA Headway Alerts for Gap Setting of (Faulted),vafimr_cnt_ops_fca_hdwyalrt[x]_[5],0,Faulted,N/A,0140450_2020-8-9-14-24-6
Counter of FCA Headway Alerts for Gap Setting of (Medium),vafimr_cnt_ops_fca_hdwyalrt[x]_[1],0,Medium,N/A,0140450_2020-8-9-14-24-6
Counter of FCA Headway Alerts for Gap Setting of (Near),vafimr_cnt_ops_fca_hdwyalrt[x]_[2],0,Near,N/A,0140450_2020-8-9-14-24-6
Counter of FCA Headway Alerts for Gap Setting of (OFF),vafimr_cnt_ops_fca_hdwyalrt[x]_[3],0,Off,N/A,0140450_2020-8-9-14-24-6
Counter of FCA Headway Alerts for Gap Setting of (Unknow),vafimr_cnt_ops_fca_hdwyalrt[x]_[4],0,Unknown,N/A,0140450_2020-8-9-14-24-6
Counter of FCA Imminent Alerts for Gap Setting of (Far),vafimr_cnt_ops_fca_imalert[x]_[0],0,Far,N/A,0140450_2020-8-9-14-24-6
Counter of FCA Imminent Alerts for Gap Setting of (Faulted),vafimr_cnt_ops_fca_imalert[x]_[5],0,Faulted,N/A,0140450_2020-8-9-14-24-6
Counter of FCA Imminent Alerts for Gap Setting of (Medium),vafimr_cnt_ops_fca_imalert[x]_[1],0,Medium,N/A,0140450_2020-8-9-14-24-6
Counter of FCA Imminent Alerts for Gap Setting of (Near),vafimr_cnt_ops_fca_imalert[x]_[2],0,Near,N/A,0140450_2020-8-9-14-24-6
Counter of FCA Imminent Alerts for Gap Setting of (OFF),vafimr_cnt_ops_fca_imalert[x]_[3],0,Off,N/A,0140450_2020-8-9-14-24-6
Counter of FCA Imminent Alerts for Gap Setting of (Unknow),vafimr_cnt_ops_fca_imalert[x]_[4],0,Unknown,N/A,0140450_2020-8-9-14-24-6
number of autonomous braking events for the current key cycle,vefimr_cnt_ops_autobrktype,0,FIM Auto Brake,N/A,0140450_2020-8-9-14-24-6
Counter for FCA gap setting at (Far),vafimr_cnt_ops_fca_gapset[x]_[0],0,Far,N/A,0140450_2020-8-9-14-3-20
Counter for FCA gap setting at (Faulted),vafimr_cnt_ops_fca_gapset[x]_[5],0,Faulted,N/A,0140450_2020-8-9-14-3-20
Counter for FCA gap setting at (Medium),vafimr_cnt_ops_fca_gapset[x]_[1],1,Medium,N/A,0140450_2020-8-9-14-3-20
Counter for FCA gap setting at (Near),vafimr_cnt_ops_fca_gapset[x]_[2],0,Near,N/A,0140450_2020-8-9-14-3-20
Counter for FCA gap setting at (Off),vafimr_cnt_ops_fca_gapset[x]_[3],0,Off,N/A,0140450_2020-8-9-14-3-20
Counter for FCA gap setting at (Unknown),vafimr_cnt_ops_fca_gapset[x]_[4],0,Unknown,N/A,0140450_2020-8-9-14-3-20
Counter for FIM feature being unavailable (FALSE),vafimr_cnt_ops_fca_notavailind[x]_[1],2903,FALSE,N/A,0140450_2020-8-9-14-3-20
Counter for FIM feature being unavailable (TRUE),vafimr_cnt_ops_fca_notavailind[x]_[0],0,TRUE,N/A,0140450_2020-8-9-14-3-20
Counter for FIM setting at (Alert and Brake),vafimr_cnt_ops_cps_curset[x]_[3],2903,Alert_Brake,N/A,0140450_2020-8-9-14-3-20
Counter for FIM setting at (Alert Brake Steer),vafimr_cnt_ops_cps_curset[x]_[4],0,Alert_Brake_Steer,N/A,0140450_2020-8-9-14-3-20
Counter for FIM setting at (Alert),vafimr_cnt_ops_cps_curset[x]_[2],0,Alert,N/A,0140450_2020-8-9-14-3-20
Counter for FIM setting at (Off),vafimr_cnt_ops_cps_curset[x]_[1],0,Off,N/A,0140450_2020-8-9-14-3-20
Counter for FIM setting at (Unknown),vafimr_cnt_ops_cps_curset[x]_[0],0,Unknown,N/A,0140450_2020-8-9-14-3-20
Counter for Range 90m and greater and Range Rate 5m/s and greater,vafimr_cnt_ops_rngrtfim[x]_[129],3,90<,6,0140450_2020-8-9-14-3-20
Counter for Range 90m and greater and Range Rate equals to or less than -17 m/s,vafimr_cnt_ops_rngrtfim[x]_[117],0,90<,-18,0140450_2020-8-9-14-3-20
Counter for Range 90m and greater and Range Rate within (-1 1]m/s,vafimr_cnt_ops_rngrtfim[x]_[126],2254,90<,0,0140450_2020-8-9-14-3-20
Counter for Range 90m and greater and Range Rate within (1 3]m/s,vafimr_cnt_ops_rngrtfim[x]_[127],17,90<,2,0140450_2020-8-9-14-3-20
Counter for Range 90m and greater and Range Rate within (-11 -9]m/s,vafimr_cnt_ops_rngrtfim[x]_[121],0,90<,-10,0140450_2020-8-9-14-3-20
Counter for Range 90m and greater and Range Rate within (-13 -11]m/s,vafimr_cnt_ops_rngrtfim[x]_[120],0,90<,-12,0140450_2020-8-9-14-3-20
Counter for Range 90m and greater and Range Rate within (-15 -13]m/s,vafimr_cnt_ops_rngrtfim[x]_[119],0,90<,-14,0140450_2020-8-9-14-3-20
Counter for Range 90m and greater and Range Rate within (-17 -15]m/s,vafimr_cnt_ops_rngrtfim[x]_[118],0,90<,-16,0140450_2020-8-9-14-3-20
Counter for Range 90m and greater and Range Rate within (-3 -1]m/s,vafimr_cnt_ops_rngrtfim[x]_[125],1,90<,-2,0140450_2020-8-9-14-3-20
Counter for Range 90m and greater and Range Rate within (3 5]m/s,vafimr_cnt_ops_rngrtfim[x]_[128],0,90<,4,0140450_2020-8-9-14-3-20
Counter for Range 90m and greater and Range Rate within (-5 -3]m/s,vafimr_cnt_ops_rngrtfim[x]_[124],0,90<,-4,0140450_2020-8-9-14-3-20
Counter for Range 90m and greater and Range Rate within (-7 -5]m/s,vafimr_cnt_ops_rngrtfim[x]_[123],2,90<,-6,0140450_2020-8-9-14-3-20
Counter for Range 90m and greater and Range Rate within (-9 -7]m/s,vafimr_cnt_ops_rngrtfim[x]_[122],1,90<,-8,0140450_2020-8-9-14-3-20
Counter for Range within (0 10]m and Range Rate  5m/s and greater,vafimr_cnt_ops_rngrtfim[x]_[12],0,(0 10],6,0140450_2020-8-9-14-3-20
Counter for Range within (0 10]m and Range Rate equals to or less than -17 m/s,vafimr_cnt_ops_rngrtfim[x]_[0],0,(0 10],-18,0140450_2020-8-9-14-3-20
Counter for Range within (0 10]m and Range Rate within (-1 1]m/s,vafimr_cnt_ops_rngrtfim[x]_[9],185,(0 10],0,0140450_2020-8-9-14-3-20
Counter for Range within (0 10]m and Range Rate within (1 3]m/s,vafimr_cnt_ops_rngrtfim[x]_[10],13,(0 10],2,0140450_2020-8-9-14-3-20
Counter for Range within (0 10]m and Range Rate within (-11 -9]m/s,vafimr_cnt_ops_rngrtfim[x]_[4],0,(0 10],-10,0140450_2020-8-9-14-3-20
Counter for Range within (0 10]m and Range Rate within (-13 -11]m/s,vafimr_cnt_ops_rngrtfim[x]_[3],0,(0 10],-12,0140450_2020-8-9-14-3-20
Counter for Range within (0 10]m and Range Rate within (-15 -13]m/s,vafimr_cnt_ops_rngrtfim[x]_[2],0,(0 10],-14,0140450_2020-8-9-14-3-20
Counter for Range within (0 10]m and Range Rate within (-17 -15]m/s,vafimr_cnt_ops_rngrtfim[x]_[1],0,(0 10],-16,0140450_2020-8-9-14-3-20
Counter for Range within (0 10]m and Range Rate within (-3 -1]m/s,vafimr_cnt_ops_rngrtfim[x]_[8],7,(0 10],-2,0140450_2020-8-9-14-3-20
Counter for Range within (0 10]m and Range Rate within (3 5]m/s,vafimr_cnt_ops_rngrtfim[x]_[11],1,(0 10],4,0140450_2020-8-9-14-3-20
Counter for Range within (0 10]m and Range Rate within (-5 -3]m/s,vafimr_cnt_ops_rngrtfim[x]_[7],1,(0 10],-4,0140450_2020-8-9-14-3-20
Counter for Range within (0 10]m and Range Rate within (-7 -5]m/s,vafimr_cnt_ops_rngrtfim[x]_[6],0,(0 10],-6,0140450_2020-8-9-14-3-20
Counter for Range within (0 10]m and Range Rate within (-9 -7]m/s,vafimr_cnt_ops_rngrtfim[x]_[5],0,(0 10],-8,0140450_2020-8-9-14-3-20
Counter for Range within (10 20]m and Range Rate  5m/s and greater,vafimr_cnt_ops_rngrtfim[x]_[25],0,(10 20],6,0140450_2020-8-9-14-3-20
Counter for Range within (10 20]m and Range Rate equals to or less than -17 m/s,vafimr_cnt_ops_rngrtfim[x]_[13],0,(10 20],-18,0140450_2020-8-9-14-3-20
Counter for Range within (10 20]m and Range Rate within (-1 1]m/s,vafimr_cnt_ops_rngrtfim[x]_[22],16,(10 20],0,0140450_2020-8-9-14-3-20
Counter for Range within (10 20]m and Range Rate within (1 3]m/s,vafimr_cnt_ops_rngrtfim[x]_[23],19,(10 20],2,0140450_2020-8-9-14-3-20
Counter for Range within (10 20]m and Range Rate within (-11 -9]m/s,vafimr_cnt_ops_rngrtfim[x]_[17],0,(10 20],-10,0140450_2020-8-9-14-3-20
Counter for Range within (10 20]m and Range Rate within (-13 -11]m/s,vafimr_cnt_ops_rngrtfim[x]_[16],0,(10 20],-12,0140450_2020-8-9-14-3-20
Counter for Range within (10 20]m and Range Rate within (-15 -13]m/s,vafimr_cnt_ops_rngrtfim[x]_[15],0,(10 20],-14,0140450_2020-8-9-14-3-20
Counter for Range within (10 20]m and Range Rate within (-17 -15]m/s,vafimr_cnt_ops_rngrtfim[x]_[14],0,(10 20],-16,0140450_2020-8-9-14-3-20
Counter for Range within (10 20]m and Range Rate within (-3 -1]m/s,vafimr_cnt_ops_rngrtfim[x]_[21],18,(10 20],-2,0140450_2020-8-9-14-3-20
Counter for Range within (10 20]m and Range Rate within (3 5]m/s,vafimr_cnt_ops_rngrtfim[x]_[24],2,(10 20],4,0140450_2020-8-9-14-3-20
Counter for Range within (10 20]m and Range Rate within (-5 -3]m/s,vafimr_cnt_ops_rngrtfim[x]_[20],7,(10 20],-4,0140450_2020-8-9-14-3-20
Counter for Range within (10 20]m and Range Rate within (-7 -5]m/s,vafimr_cnt_ops_rngrtfim[x]_[19],1,(10 20],-6,0140450_2020-8-9-14-3-20
Counter for Range within (10 20]m and Range Rate within (-9 -7]m/s,vafimr_cnt_ops_rngrtfim[x]_[18],1,(10 20],-8,0140450_2020-8-9-14-3-20
Counter for Range within (20 30]m and Range Rate  5m/s and greater,vafimr_cnt_ops_rngrtfim[x]_[38],0,(20 30],6,0140450_2020-8-9-14-3-20
Counter for Range within (20 30]m and Range Rate equals to or less than -17 m/s,vafimr_cnt_ops_rngrtfim[x]_[26],0,(20 30],-18,0140450_2020-8-9-14-3-20
Counter for Range within (20 30]m and Range Rate within (-1 1]m/s,vafimr_cnt_ops_rngrtfim[x]_[35],20,(20 30],0,0140450_2020-8-9-14-3-20
Counter for Range within (20 30]m and Range Rate within (1 3]m/s,vafimr_cnt_ops_rngrtfim[x]_[36],15,(20 30],2,0140450_2020-8-9-14-3-20
Counter for Range within (20 30]m and Range Rate within (-11 -9]m/s,vafimr_cnt_ops_rngrtfim[x]_[30],1,(20 30],-10,0140450_2020-8-9-14-3-20
Counter for Range within (20 30]m and Range Rate within (-13 -11]m/s,vafimr_cnt_ops_rngrtfim[x]_[29],0,(20 30],-12,0140450_2020-8-9-14-3-20
Counter for Range within (20 30]m and Range Rate within (-15 -13]m/s,vafimr_cnt_ops_rngrtfim[x]_[28],0,(20 30],-14,0140450_2020-8-9-14-3-20
Counter for Range within (20 30]m and Range Rate within (-17 -15]m/s,vafimr_cnt_ops_rngrtfim[x]_[27],0,(20 30],-16,0140450_2020-8-9-14-3-20
Counter for Range within (20 30]m and Range Rate within (-3 -1]m/s,vafimr_cnt_ops_rngrtfim[x]_[34],11,(20 30],-2,0140450_2020-8-9-14-3-20
Counter for Range within (20 30]m and Range Rate within (3 5]m/s,vafimr_cnt_ops_rngrtfim[x]_[37],1,(20 30],4,0140450_2020-8-9-14-3-20
Counter for Range within (20 30]m and Range Rate within (-5 -3]m/s,vafimr_cnt_ops_rngrtfim[x]_[33],5,(20 30],-4,0140450_2020-8-9-14-3-20
Counter for Range within (20 30]m and Range Rate within (-7 -5]m/s,vafimr_cnt_ops_rngrtfim[x]_[32],1,(20 30],-6,0140450_2020-8-9-14-3-20
Counter for Range within (20 30]m and Range Rate within (-9 -7]m/s,vafimr_cnt_ops_rngrtfim[x]_[31],1,(20 30],-8,0140450_2020-8-9-14-3-20
Counter for Range within (30 40]m and Range Rate  5m/s and greater,vafimr_cnt_ops_rngrtfim[x]_[51],0,(30 40],6,0140450_2020-8-9-14-3-20
Counter for Range within (30 40]m and Range Rate equals to or less than -17 m/s,vafimr_cnt_ops_rngrtfim[x]_[39],0,(30 40],-18,0140450_2020-8-9-14-3-20
Counter for Range within (30 40]m and Range Rate within (-1 1]m/s,vafimr_cnt_ops_rngrtfim[x]_[48],10,(30 40],0,0140450_2020-8-9-14-3-20
Counter for Range within (30 40]m and Range Rate within (1 3]m/s,vafimr_cnt_ops_rngrtfim[x]_[49],13,(30 40],2,0140450_2020-8-9-14-3-20
Counter for Range within (30 40]m and Range Rate within (-11 -9]m/s,vafimr_cnt_ops_rngrtfim[x]_[43],1,(30 40],-10,0140450_2020-8-9-14-3-20
Counter for Range within (30 40]m and Range Rate within (-13 -11]m/s,vafimr_cnt_ops_rngrtfim[x]_[42],1,(30 40],-12,0140450_2020-8-9-14-3-20
Counter for Range within (30 40]m and Range Rate within (-15 -13]m/s,vafimr_cnt_ops_rngrtfim[x]_[41],0,(30 40],-14,0140450_2020-8-9-14-3-20
Counter for Range within (30 40]m and Range Rate within (-17 -15]m/s,vafimr_cnt_ops_rngrtfim[x]_[40],0,(30 40],-16,0140450_2020-8-9-14-3-20
Counter for Range within (30 40]m and Range Rate within (-3 -1]m/s,vafimr_cnt_ops_rngrtfim[x]_[47],9,(30 40],-2,0140450_2020-8-9-14-3-20
Counter for Range within (30 40]m and Range Rate within (3 5]m/s,vafimr_cnt_ops_rngrtfim[x]_[50],5,(30 40],4,0140450_2020-8-9-14-3-20
Counter for Range within (30 40]m and Range Rate within (-5 -3]m/s,vafimr_cnt_ops_rngrtfim[x]_[46],2,(30 40],-4,0140450_2020-8-9-14-3-20
Counter for Range within (30 40]m and Range Rate within (-7 -5]m/s,vafimr_cnt_ops_rngrtfim[x]_[45],2,(30 40],-6,0140450_2020-8-9-14-3-20
Counter for Range within (30 40]m and Range Rate within (-9 -7]m/s,vafimr_cnt_ops_rngrtfim[x]_[44],0,(30 40],-8,0140450_2020-8-9-14-3-20
Counter for Range within (40 50]m and Range Rate 5m/s and greater,vafimr_cnt_ops_rngrtfim[x]_[64],0,(40 50],6,0140450_2020-8-9-14-3-20
Counter for Range within (40 50]m and Range Rate equals to or less than -17 m/s,vafimr_cnt_ops_rngrtfim[x]_[52],0,(40 50],-18,0140450_2020-8-9-14-3-20
Counter for Range within (40 50]m and Range Rate within (-1 1]m/s,vafimr_cnt_ops_rngrtfim[x]_[61],26,(40 50],0,0140450_2020-8-9-14-3-20
Counter for Range within (40 50]m and Range Rate within (1 3]m/s,vafimr_cnt_ops_rngrtfim[x]_[62],9,(40 50],2,0140450_2020-8-9-14-3-20
Counter for Range within (40 50]m and Range Rate within (-11 -9]m/s,vafimr_cnt_ops_rngrtfim[x]_[56],1,(40 50],-10,0140450_2020-8-9-14-3-20
Counter for Range within (40 50]m and Range Rate within (-13 -11]m/s,vafimr_cnt_ops_rngrtfim[x]_[55],1,(40 50],-12,0140450_2020-8-9-14-3-20
Counter for Range within (40 50]m and Range Rate within (-15 -13]m/s,vafimr_cnt_ops_rngrtfim[x]_[54],0,(40 50],-14,0140450_2020-8-9-14-3-20
Counter for Range within (40 50]m and Range Rate within (-17 -15]m/s,vafimr_cnt_ops_rngrtfim[x]_[53],0,(40 50],-16,0140450_2020-8-9-14-3-20
Counter for Range within (40 50]m and Range Rate within (-3 -1]m/s,vafimr_cnt_ops_rngrtfim[x]_[60],4,(40 50],-2,0140450_2020-8-9-14-3-20
Counter for Range within (40 50]m and Range Rate within (3 5]m/s,vafimr_cnt_ops_rngrtfim[x]_[63],8,(40 50],4,0140450_2020-8-9-14-3-20
Counter for Range within (40 50]m and Range Rate within (-5 -3]m/s,vafimr_cnt_ops_rngrtfim[x]_[59],5,(40 50],-4,0140450_2020-8-9-14-3-20
Counter for Range within (40 50]m and Range Rate within (-7 -5]m/s,vafimr_cnt_ops_rngrtfim[x]_[58],2,(40 50],-6,0140450_2020-8-9-14-3-20
Counter for Range within (40 50]m and Range Rate within (-9 -7]m/s,vafimr_cnt_ops_rngrtfim[x]_[57],1,(40 50],-8,0140450_2020-8-9-14-3-20
Counter for Range within (50 60]m and Range Rate 5m/s and greater,vafimr_cnt_ops_rngrtfim[x]_[77],4,(50 60],6,0140450_2020-8-9-14-3-20
Counter for Range within (50 60]m and Range Rate equals to or less than -17 m/s,vafimr_cnt_ops_rngrtfim[x]_[65],0,(50 60],-18,0140450_2020-8-9-14-3-20
Counter for Range within (50 60]m and Range Rate within (-1 1]m/s,vafimr_cnt_ops_rngrtfim[x]_[74],10,(50 60],0,0140450_2020-8-9-14-3-20
Counter for Range within (50 60]m and Range Rate within (1 3]m/s,vafimr_cnt_ops_rngrtfim[x]_[75],10,(50 60],2,0140450_2020-8-9-14-3-20
Counter for Range within (50 60]m and Range Rate within (-11 -9]m/s,vafimr_cnt_ops_rngrtfim[x]_[69],1,(50 60],-10,0140450_2020-8-9-14-3-20
Counter for Range within (50 60]m and Range Rate within (-13 -11]m/s,vafimr_cnt_ops_rngrtfim[x]_[68],1,(50 60],-12,0140450_2020-8-9-14-3-20
Counter for Range within (50 60]m and Range Rate within (-15 -13]m/s,vafimr_cnt_ops_rngrtfim[x]_[67],0,(50 60],-14,0140450_2020-8-9-14-3-20
Counter for Range within (50 60]m and Range Rate within (-17 -15]m/s,vafimr_cnt_ops_rngrtfim[x]_[66],0,(50 60],-16,0140450_2020-8-9-14-3-20
Counter for Range within (50 60]m and Range Rate within (-3 -1]m/s,vafimr_cnt_ops_rngrtfim[x]_[73],8,(50 60],-2,0140450_2020-8-9-14-3-20
Counter for Range within (50 60]m and Range Rate within (3 5]m/s,vafimr_cnt_ops_rngrtfim[x]_[76],3,(50 60],4,0140450_2020-8-9-14-3-20
Counter for Range within (50 60]m and Range Rate within (-5 -3]m/s,vafimr_cnt_ops_rngrtfim[x]_[72],3,(50 60],-4,0140450_2020-8-9-14-3-20
Counter for Range within (50 60]m and Range Rate within (-7 -5]m/s,vafimr_cnt_ops_rngrtfim[x]_[71],0,(50 60],-6,0140450_2020-8-9-14-3-20
Counter for Range within (50 60]m and Range Rate within (-9 -7]m/s,vafimr_cnt_ops_rngrtfim[x]_[70],1,(50 60],-8,0140450_2020-8-9-14-3-20
Counter for Range within (60 70]m and Range Rate 5m/s and greater,vafimr_cnt_ops_rngrtfim[x]_[90],2,(60 70],6,0140450_2020-8-9-14-3-20
Counter for Range within (60 70]m and Range Rate equals to or less than -17 m/s,vafimr_cnt_ops_rngrtfim[x]_[78],0,(60 70],-18,0140450_2020-8-9-14-3-20
Counter for Range within (60 70]m and Range Rate within (-1 1]m/s,vafimr_cnt_ops_rngrtfim[x]_[87],31,(60 70],0,0140450_2020-8-9-14-3-20
Counter for Range within (60 70]m and Range Rate within (1 3]m/s,vafimr_cnt_ops_rngrtfim[x]_[88],1,(60 70],2,0140450_2020-8-9-14-3-20
Counter for Range within (60 70]m and Range Rate within (-11 -9]m/s,vafimr_cnt_ops_rngrtfim[x]_[82],1,(60 70],-10,0140450_2020-8-9-14-3-20
Counter for Range within (60 70]m and Range Rate within (-13 -11]m/s,vafimr_cnt_ops_rngrtfim[x]_[81],1,(60 70],-12,0140450_2020-8-9-14-3-20
Counter for Range within (60 70]m and Range Rate within (-15 -13]m/s,vafimr_cnt_ops_rngrtfim[x]_[80],1,(60 70],-14,0140450_2020-8-9-14-3-20
Counter for Range within (60 70]m and Range Rate within (-17 -15]m/s,vafimr_cnt_ops_rngrtfim[x]_[79],0,(60 70],-16,0140450_2020-8-9-14-3-20
Counter for Range within (60 70]m and Range Rate within (-3 -1]m/s,vafimr_cnt_ops_rngrtfim[x]_[86],12,(60 70],-2,0140450_2020-8-9-14-3-20
Counter for Range within (60 70]m and Range Rate within (3 5]m/s,vafimr_cnt_ops_rngrtfim[x]_[89],4,(60 70],4,0140450_2020-8-9-14-3-20
Counter for Range within (60 70]m and Range Rate within (-5 -3]m/s,vafimr_cnt_ops_rngrtfim[x]_[85],1,(60 70],-4,0140450_2020-8-9-14-3-20
Counter for Range within (60 70]m and Range Rate within (-7 -5]m/s,vafimr_cnt_ops_rngrtfim[x]_[84],1,(60 70],-6,0140450_2020-8-9-14-3-20
Counter for Range within (60 70]m and Range Rate within (-9 -7]m/s,vafimr_cnt_ops_rngrtfim[x]_[83],0,(60 70],-8,0140450_2020-8-9-14-3-20
Counter for Range within (70 80]m and Range Rate 5m/s and greater,vafimr_cnt_ops_rngrtfim[x]_[103],1,(70 80],6,0140450_2020-8-9-14-3-20
Counter for Range within (70 80]m and Range Rate equals to or less than -17 m/s,vafimr_cnt_ops_rngrtfim[x]_[91],0,(70 80],-18,0140450_2020-8-9-14-3-20
Counter for Range within (70 80]m and Range Rate within (-1 1]m/s,vafimr_cnt_ops_rngrtfim[x]_[100],13,(70 80],0,0140450_2020-8-9-14-3-20
Counter for Range within (70 80]m and Range Rate within (1 3]m/s,vafimr_cnt_ops_rngrtfim[x]_[101],1,(70 80],2,0140450_2020-8-9-14-3-20
Counter for Range within (70 80]m and Range Rate within (-11 -9]m/s,vafimr_cnt_ops_rngrtfim[x]_[95],1,(70 80],-10,0140450_2020-8-9-14-3-20
Counter for Range within (70 80]m and Range Rate within (-13 -11]m/s,vafimr_cnt_ops_rngrtfim[x]_[94],1,(70 80],-12,0140450_2020-8-9-14-3-20
Counter for Range within (70 80]m and Range Rate within (-15 -13]m/s,vafimr_cnt_ops_rngrtfim[x]_[93],1,(70 80],-14,0140450_2020-8-9-14-3-20
Counter for Range within (70 80]m and Range Rate within (-17 -15]m/s,vafimr_cnt_ops_rngrtfim[x]_[92],0,(70 80],-16,0140450_2020-8-9-14-3-20
Counter for Range within (70 80]m and Range Rate within (-3 -1]m/s,vafimr_cnt_ops_rngrtfim[x]_[99],2,(70 80],-2,0140450_2020-8-9-14-3-20
Counter for Range within (70 80]m and Range Rate within (3 5]m/s,vafimr_cnt_ops_rngrtfim[x]_[102],2,(70 80],4,0140450_2020-8-9-14-3-20
Counter for Range within (70 80]m and Range Rate within (-5 -3]m/s,vafimr_cnt_ops_rngrtfim[x]_[98],0,(70 80],-4,0140450_2020-8-9-14-3-20
Counter for Range within (70 80]m and Range Rate within (-7 -5]m/s,vafimr_cnt_ops_rngrtfim[x]_[97],1,(70 80],-6,0140450_2020-8-9-14-3-20
Counter for Range within (70 80]m and Range Rate within (-9 -7]m/s,vafimr_cnt_ops_rngrtfim[x]_[96],0,(70 80],-8,0140450_2020-8-9-14-3-20
Counter for Range within (80 90]m and Range Rate 5m/s and greater,vafimr_cnt_ops_rngrtfim[x]_[116],0,(80 90],6,0140450_2020-8-9-14-3-20
Counter for Range within (80 90]m and Range Rate equals to or less than -17 m/s,vafimr_cnt_ops_rngrtfim[x]_[104],0,(80 90],-18,0140450_2020-8-9-14-3-20
Counter for Range within (80 90]m and Range Rate within (-1 1]m/s,vafimr_cnt_ops_rngrtfim[x]_[113],1,(80 90],0,0140450_2020-8-9-14-3-20
Counter for Range within (80 90]m and Range Rate within (1 3]m/s,vafimr_cnt_ops_rngrtfim[x]_[114],14,(80 90],2,0140450_2020-8-9-14-3-20
Counter for Range within (80 90]m and Range Rate within (-11 -9]m/s,vafimr_cnt_ops_rngrtfim[x]_[108],1,(80 90],-10,0140450_2020-8-9-14-3-20
Counter for Range within (80 90]m and Range Rate within (-13 -11]m/s,vafimr_cnt_ops_rngrtfim[x]_[107],0,(80 90],-12,0140450_2020-8-9-14-3-20
Counter for Range within (80 90]m and Range Rate within (-15 -13]m/s,vafimr_cnt_ops_rngrtfim[x]_[106],1,(80 90],-14,0140450_2020-8-9-14-3-20
Counter for Range within (80 90]m and Range Rate within (-17 -15]m/s,vafimr_cnt_ops_rngrtfim[x]_[105],0,(80 90],-16,0140450_2020-8-9-14-3-20
Counter for Range within (80 90]m and Range Rate within (-3 -1]m/s,vafimr_cnt_ops_rngrtfim[x]_[112],2,(80 90],-2,0140450_2020-8-9-14-3-20
Counter for Range within (80 90]m and Range Rate within (3 5]m/s,vafimr_cnt_ops_rngrtfim[x]_[115],2,(80 90],4,0140450_2020-8-9-14-3-20
Counter for Range within (80 90]m and Range Rate within (-5 -3]m/s,vafimr_cnt_ops_rngrtfim[x]_[111],0,(80 90],-4,0140450_2020-8-9-14-3-20
Counter for Range within (80 90]m and Range Rate within (-7 -5]m/s,vafimr_cnt_ops_rngrtfim[x]_[110],0,(80 90],-6,0140450_2020-8-9-14-3-20
Counter for Range within (80 90]m and Range Rate within (-9 -7]m/s,vafimr_cnt_ops_rngrtfim[x]_[109],1,(80 90],-8,0140450_2020-8-9-14-3-20
Counter for Vehicle Speed 150 kph and greater when there is a forward target,vafimr_cnt_ops_vehspdtgt[x]_[10],0,(150<),N/A,0140450_2020-8-9-14-3-20
Counter for Vehicle Speed 150 kph and greater when there is no forward target,vafimr_cnt_ops_vehspdnotgt[x]_[10],0,(150<),N/A,0140450_2020-8-9-14-3-20
